"title","num_posts","views","votes","freshness"
"<a href=""https://www.econjobrumors.com/topic/why-are-we-obsessed-with-a-story-even-for-empirical"">Why are we obsessed with a story, even for empirical</a>","26","765","4-2","<a href=""https://www.econjobrumors.com/topic/why-are-we-obsessed-with-a-story-even-for-empirical/page/2#post-3563161"">1 hour</a>"
"<a href=""https://www.econjobrumors.com/topic/a-guide-to-success-in-tinder-for-bros"">A guide to success in tinder for bros</a>","7","296","0-0","<a href=""https://www.econjobrumors.com/topic/a-guide-to-success-in-tinder-for-bros#post-3563156"">1 hour</a>"
"<a href=""https://www.econjobrumors.com/topic/german-market"">German Market</a>","27424","3131615","382-219","<a href=""https://www.econjobrumors.com/topic/german-market/page/1372#post-3563145"">1 hour</a>"
"<a href=""https://www.econjobrumors.com/topic/lee-ohanian-to-asu"">Lee Ohanian to ASU</a>","29","1061","2-1","<a href=""https://www.econjobrumors.com/topic/lee-ohanian-to-asu/page/2#post-3563143"">1 hour</a>"
"<a href=""https://www.econjobrumors.com/topic/intuition-in-economics"">Intuition in Economics</a>","38","6986","1-0","<a href=""https://www.econjobrumors.com/topic/intuition-in-economics/page/2#post-3563139"">1 hour</a>"
"<a href=""https://www.econjobrumors.com/topic/figa"">Figa</a>","202","8210","3-1","<a href=""https://www.econjobrumors.com/topic/figa/page/11#post-3563129"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/how-to-make-principles-classes-interesting"">How to make principles classes interesting</a>","21","624","0-1","<a href=""https://www.econjobrumors.com/topic/how-to-make-principles-classes-interesting/page/2#post-3563120"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/i-am-going-to-fail-my-qualifier"">I am going to fail my qualifier</a>","4","131","0-0","<a href=""https://www.econjobrumors.com/topic/i-am-going-to-fail-my-qualifier#post-3563098"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/cea-meeting-2017"">CEA Meeting 2017</a>","29","921","5-0","<a href=""https://www.econjobrumors.com/topic/cea-meeting-2017/page/2#post-3563090"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/saturday-night-dog-game"">Saturday night dog game</a>","1","19","0-0","<a href=""https://www.econjobrumors.com/topic/saturday-night-dog-game#post-3563089"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/turnaround-faster-in-the-summer"">Turnaround faster in the summer?</a>","2","75","0-0","<a href=""https://www.econjobrumors.com/topic/turnaround-faster-in-the-summer#post-3563086"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/work-in-portugal"">Work in Portugal</a>","60","3351","2-0","<a href=""https://www.econjobrumors.com/topic/work-in-portugal/page/3#post-3563083"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/google-scholar-summer-bump"">Google Scholar summer bump</a>","6","437","0-0","<a href=""https://www.econjobrumors.com/topic/google-scholar-summer-bump#post-3563079"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/i-only-need-3-more-a-pubs-to-make-tenure"">I only need 3 more A pubs to make tenure</a>","15","1302","1-0","<a href=""https://www.econjobrumors.com/topic/i-only-need-3-more-a-pubs-to-make-tenure#post-3563078"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/if-all-academic-were-required-to-lift-for-two-hours-a-day"">If all academic were required to lift for two hours a day...</a>","5","122","0-0","<a href=""https://www.econjobrumors.com/topic/if-all-academic-were-required-to-lift-for-two-hours-a-day#post-3563076"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/marketing-job-market-2018"">Marketing Job Market 2018</a>","173","13294","0-1","<a href=""https://www.econjobrumors.com/topic/marketing-job-market-2018/page/9#post-3563075"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/confession-of-an-economist-4"">Confession of an economist</a>","7","155","0-1","<a href=""https://www.econjobrumors.com/topic/confession-of-an-economist-4#post-3563072"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/best-latex-installation-video"">Best Latex installation video?</a>","2","41","0-0","<a href=""https://www.econjobrumors.com/topic/best-latex-installation-video#post-3563063"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/worst-musical-instruments"">Worst musical instruments</a>","12","130","0-0","<a href=""https://www.econjobrumors.com/topic/worst-musical-instruments#post-3563054"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/i-was-robbed-twice-as-a-teen"">I was robbed twice as a teen</a>","1","35","0-0","<a href=""https://www.econjobrumors.com/topic/i-was-robbed-twice-as-a-teen#post-3563053"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/finance-phd-applying-for-accounting-ap"">Finance PhD applying for accounting AP?</a>","41","3698","3-1","<a href=""https://www.econjobrumors.com/topic/finance-phd-applying-for-accounting-ap/page/3#post-3563050"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/xg-of-mit-sloan-finance"">XG of MIT Sloan Finance</a>","23","2546","0-2","<a href=""https://www.econjobrumors.com/topic/xg-of-mit-sloan-finance/page/2#post-3563039"">3 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/what-is-the-lowest-ranked-phd-granting-institution-in-north-america"">What is the lowest ranked PhD granting institution in North America?</a>","26","543","1-0","<a href=""https://www.econjobrumors.com/topic/what-is-the-lowest-ranked-phd-granting-institution-in-north-america/page/2#post-3563036"">3 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/house-votes-to-repeal-dodd-frank"">House votes to repeal Dodd-Frank</a>","12","257","3-1","<a href=""https://www.econjobrumors.com/topic/house-votes-to-repeal-dodd-frank#post-3563034"">3 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/borjas-result-was-suprious"">Borjas' result was suprious</a>","217","8902","26-9","<a href=""https://www.econjobrumors.com/topic/borjas-result-was-suprious/page/11#post-3563025"">3 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/sy-fy-channel-is-such-a-disappointment"">Sy Fy Channel is such a disappointment.</a>","1","27","0-0","<a href=""https://www.econjobrumors.com/topic/sy-fy-channel-is-such-a-disappointment#post-3563017"">3 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/stanford-to-replace-first-year-econometrics-sequence-with-machine-learning"">Stanford to replace first-year econometrics sequence with machine learning</a>","9","424","1-9","<a href=""https://www.econjobrumors.com/topic/stanford-to-replace-first-year-econometrics-sequence-with-machine-learning#post-3563015"">3 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/the-fittest-economists"">The fittest economists</a>","9","333","0-0","<a href=""https://www.econjobrumors.com/topic/the-fittest-economists#post-3563012"">3 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/theres-a-paper-at-the-jfe-thats-been-under-review-since-last-july"">There's a paper at the JFE that's been under review since LAST July</a>","10","846","0-0","<a href=""https://www.econjobrumors.com/topic/theres-a-paper-at-the-jfe-thats-been-under-review-since-last-july#post-3563011"">3 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/sixteen-years-in-academia-made-me-an-a-hole-1"">Sixteen years in academia made me an a-hole</a>","9","519","0-2","<a href=""https://www.econjobrumors.com/topic/sixteen-years-in-academia-made-me-an-a-hole-1#post-3563009"">3 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/should-i-urinate-on-my-reviewer"">Should I urinate on my reviewer ?</a>","59","8421","231-10","<a href=""https://www.econjobrumors.com/topic/should-i-urinate-on-my-reviewer/page/3#post-3562998"">3 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/amber-rose"">Amber Rose</a>","5","155","0-0","<a href=""https://www.econjobrumors.com/topic/amber-rose#post-3562979"">3 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/how-often-does-your-department-have-problems-securing-visas-for-grad-students"">How often does your department have problems securing visas for grad students</a>","16","409","0-0","<a href=""https://www.econjobrumors.com/topic/how-often-does-your-department-have-problems-securing-visas-for-grad-students#post-3562975"">3 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/quick-iv2sls-question"">Quick IV/2SLS question</a>","38","716","0-1","<a href=""https://www.econjobrumors.com/topic/quick-iv2sls-question/page/2#post-3562954"">4 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/journal-of-applied-psychology-vs-psychological-science"">Journal of Applied Psychology vs Psychological Science</a>","4","85","0-0","<a href=""https://www.econjobrumors.com/topic/journal-of-applied-psychology-vs-psychological-science#post-3562946"">4 hours</a>"
